region,beta,threshold_T,std_SD,or_continuous,auc,sensitivity,specificity,auc_ci_lower,auc_ci_upper,sens_ci_lower,sens_ci_upper,spec_ci_lower,spec_ci_upper
ACA,0.07744901022646351,7.413,9.508793745420009,1.080527135219949,0.6942906073312934,0.6472114137483788,0.6491909385113268,0.6717024098550803,0.717830063956972,0.6161022721105665,0.6806131060182244,0.6270070360260729,0.6721116246577357
MCA,0.05954473330939641,25.701,18.70446476517785,1.0613532377603954,0.7453330479056746,0.5214007782101168,0.8640776699029126,0.724627089866374,0.7665791408244913,0.48713927137240765,0.5549781448706423,0.8473998778283572,0.8796254518016555
PCA,0.10725071681916522,8.532,6.43043284232795,1.1132133207973967,0.6916499817410249,0.5875486381322957,0.7074433656957929,0.6680358778214789,0.7138607230381296,0.5529334365325078,0.6207470628306769,0.6848247157738355,0.7289248502359642
Brainstem,0.3927040459844135,0.778,1.7573113483939362,1.480980022479593,0.6873286909364127,0.6498054474708171,0.6517799352750809,0.6646924821991791,0.7100128902825391,0.6154805068832799,0.6832905515391561,0.6282707958650082,0.674819154821687
Cerebellum,0.2380390855218239,0.9339999999999999,2.526035427834045,1.2687587819548574,0.6780753780867113,0.6277561608300908,0.656957928802589,0.6547359156490848,0.7021545534282253,0.5934893757232866,0.6612327353072028,0.6324826536342372,0.6796407497745502
Cistern,0.20836879534971017,3.245,2.8216992276015294,1.2316673189792509,0.657087630488711,0.6381322957198443,0.6148867313915858,0.6337848382226731,0.6809663437381234,0.6041865244846897,0.6715550646305193,0.5892080065921419,0.6371772417799292
IVH,0.13201861676170573,1.227,12.463014636821992,1.1411295632066414,0.7098930066026132,0.543450064850843,0.7877022653721683,0.686370918838142,0.7334369010391616,0.5096476407951818,0.5786133254748396,0.7657716524350984,0.8088004280290472
