region,beta,threshold_T,std_SD,or_continuous,auc,sensitivity,specificity,auc_ci_lower,auc_ci_upper,sens_ci_lower,sens_ci_upper,spec_ci_lower,spec_ci_upper
ACA,0.07317166304632315,4.84,9.417111744225549,1.0759152159465222,0.6889296043049207,0.6523994811932555,0.6453074433656958,0.6659336317954767,0.7116084776349902,0.6185507987723302,0.6855620616872063,0.622810566782537,0.6686395485733093
MCA,0.062093495597998774,11.126999999999999,17.729502788480875,1.0640618251741216,0.7568101780145149,0.7444876783398184,0.6466019417475728,0.7357242228765021,0.7769038358034799,0.7153477271058236,0.776637358000074,0.6227120357112776,0.671623223731978
PCA,0.12279400832539257,5.536,5.874263318170197,1.1306514921633497,0.68624406583305,0.6095979247730221,0.6841423948220064,0.6622552338288223,0.7082228745020447,0.5751929419525066,0.6442453754951255,0.6619780724940814,0.7063447842674172
Brainstem,0.44889100281150046,1.0430000000000001,1.3918794884467474,1.5665738957431483,0.6722094199522328,0.44487678339818415,0.8174757281553398,0.6500302155492214,0.6968454571126145,0.4104470500104307,0.4793981540992879,0.7984470234925143,0.8368999611140506
Cerebellum,0.25841148801380054,0.642,2.560311718889398,1.2948715331291984,0.694342655904365,0.6459143968871596,0.6517799352750809,0.6714659186420062,0.7185577606596024,0.6111093281985452,0.6786172000006802,0.6267877031369947,0.6749049089726917
Cistern,0.36164380672524127,1.381,2.0200683496900815,1.4356874686530938,0.6996432154265255,0.5758754863813229,0.7275080906148867,0.6737995095594662,0.721686430298674,0.5414982614639365,0.6080443405147901,0.7053223558820431,0.7484066922412547
IVH,0.17807241741797228,1.214,12.201655382024258,1.1949118505325689,0.7848517665033852,0.7613488975356679,0.6595469255663431,0.7651052096372971,0.806725923683034,0.7337662337662337,0.7907622559893522,0.6372027190918986,0.6844256807022765
